T,P,Q,F
623,10,20.627,MacroPore60
623,30,20.694,MacroPore60
623,50,20.643,MacroPore60
623,80,20.561,MacroPore60
623,120,20.093,MacroPore60
623,150,20.033,MacroPore60
623,220,19.382,MacroPore60
623,290,19.097,MacroPore60
623,360,18.638,MacroPore60
623,430,18.144,MacroPore60
623,500,18.047,MacroPore60
673,10,20.143,MacroPore60
673,30,20.276,MacroPore60
673,50,20.249,MacroPore60
673,80,20.332,MacroPore60
673,120,19.947,MacroPore60
673,150,19.718,MacroPore60
673,220,19.68,MacroPore60
673,290,19.257,MacroPore60
673,360,18.892,MacroPore60
673,430,18.371,MacroPore60
673,500,18.292,MacroPore60
723,10,19.659,MacroPore60
723,30,19.733,MacroPore60
723,50,19.742,MacroPore60
723,80,19.561,MacroPore60
723,120,19.458,MacroPore60
723,150,19.412,MacroPore60
723,220,18.963,MacroPore60
723,290,18.806,MacroPore60
723,360,18.839,MacroPore60
723,430,18.409,MacroPore60
723,500,18.332,MacroPore60
773,10,19.285,MacroPore60
773,30,19.305,MacroPore60
773,50,19.306,MacroPore60
773,80,19.222,MacroPore60
773,120,19.041,MacroPore60
773,150,18.908,MacroPore60
773,220,18.717,MacroPore60
773,290,18.536,MacroPore60
773,360,18.418,MacroPore60
773,430,18.193,MacroPore60
773,500,17.966,MacroPore60
