T,P,L,F
623,0,0,MacroPre20
623,10,29.448,MacroPre20
623,30,38.465,MacroPre20
623,50,46.612,MacroPre20
623,80,53.696,MacroPre20
623,120,53.121,MacroPre20
623,150,61.109,MacroPre20
623,220,62.116,MacroPre20
623,290,66.732,MacroPre20
623,360,67.834,MacroPre20
623,430,71.337,MacroPre20
623,500,73.739,MacroPre20
673,0,0,MacroPre20
673,10,16.473,MacroPre20
673,30,28.313,MacroPre20
673,50,31.405,MacroPre20
673,80,37.378,MacroPre20
673,120,42.368,MacroPre20
673,150,45.617,MacroPre20
673,220,51.498,MacroPre20
673,290,53.309,MacroPre20
673,360,57.441,MacroPre20
673,430,60.271,MacroPre20
673,500,61.791,MacroPre20
723,0,0,MacroPre20
723,10,8.104,MacroPre20
723,30,16.833,MacroPre20
723,50,21.949,MacroPre20
723,80,26.794,MacroPre20
723,120,30.656,MacroPre20
723,150,34.833,MacroPre20
723,220,38.102,MacroPre20
723,290,40.459,MacroPre20
723,360,45.229,MacroPre20
723,430,48.114,MacroPre20
723,500,50.085,MacroPre20
773,0,0,MacroPre20
773,10,3.994,MacroPre20
773,30,9.715,MacroPre20
773,50,13.776,MacroPre20
773,80,17.941,MacroPre20
773,120,22.349,MacroPre20
773,150,23.748,MacroPre20
773,220,28.93,MacroPre20
773,290,32.795,MacroPre20
773,360,33.821,MacroPre20
773,430,37.13,MacroPre20
773,500,37.003,MacroPre20
