P,L,F
0.1,0.173,trans
1,2.351,trans
5,1.095,trans
10,1.936,trans
30,2.228,trans
50,2.863,trans
80,1.854,trans
120,1.507,trans
150,2.121,trans
220,2.434,trans
290,3.815,trans
0.1,3.815,cis
1,5.757,cis
5,3.924,cis
10,3.52,cis
30,3.75,cis
50,3.57,cis
80,1.135,cis
120,3.095,cis
150,2.415,cis
220,3.458,cis
290,2.149,cis
